Rejection_Rate,Date,Season_Year,County,#loads,Tomato_variety,Average_worm/insect_damage,Average_mold,Average_green,Average_material_other_than_tomatoes,Average_hue_loads,Average_hue,Average_color,Average_solids,Average_pH
0.000645518258945,2017-08-05,2017,FRESNO,579.0,"392-1293, HZ",0.0,1.2,1.3,0.5,121.5968847352025,19.085844195210672,23.6,5.5,4.56
0.0004392386530014,2014-09-27,2014,  FRESNO,42.0,577-HEINZ TRIAL,0.0,2.3,1.9,0.3,121.5968847352025,19.085844195210672,23.9,5.39,4.39
0.0,2015-08-22,2015,  STANISLAUS,163.0,"111-0311, AB",0.0,0.7,1.2,0.3,121.5968847352025,19.085844195210672,21.5,5.96,4.26
0.0016659725114535,2010-10-02,2010,  SOLANO,118.0,255  CAMPBELLS CXD 255,0.0,1.6,0.5,0.4,121.5968847352025,19.085844195210672,22.9,5.3,4.38
0.0,2014-09-06,2014,  SACRAMENTO,67.0,"990-9905, HARRIS MORAN",0.0,0.6,1.2,0.2,121.5968847352025,19.085844195210672,23.9,5.1,4.48
0.000283326250177,2014-07-19,2014,  KINGS,333.0,"42-6402, N",0.0,0.3,4.1,1.9,121.5968847352025,19.085844195210672,26.1,5.99,4.36
0.0,2016-08-06,2016,  KINGS,244.0,"516-8516, SV",0.0,3.4,1.4,0.3,121.5968847352025,19.085844195210672,24.2,5.25,4.42
0.0007982438635002,2011-09-17,2011,  SAN JOAQUIN,143.0,560  HZ 5608Cur Wk,0.0,2.4,1.6,1.3,121.5968847352025,19.085844195210672,22.6,5.52,4.42
0.000645518258945,2017-08-05,2017,FRESNO,169.0,"241-2401, HEINZ",0.0,0.2,1.9,0.9,121.5968847352025,19.085844195210672,24.5,5.54,4.4
0.0002913752913752,2016-07-16,2016,  KERN,548.0,"560-5608, HZ",0.0,1.0,2.3,0.5,121.5968847352025,19.085844195210672,23.7,4.96,4.41
0.0021929824561403,2011-07-16,2011,  KINGS,10.0,918  HARRIS MORAN 1889,0.0,0.8,0.9,0.2,121.5968847352025,19.085844195210672,29.0,4.56,4.48
0.0,2012-08-25,2012,  MERCED,150.0,"108-108, HYPEEL",0.0,3.9,0.4,0.2,121.5968847352025,19.085844195210672,25.7,4.86,4.52
0.0066755674232309,2009-10-10,2009,  FRESNO,72.0,557  HEINZ 9557Cur Wk,0.0,3.2,0.8,1.9,121.5968847352025,19.085844195210672,26.0,4.63,4.58
0.0,2018-09-01,2018,KINGS,170.0,"452-4521, HMX 61P",0.0,2.3,0.9,0.7,170.0,21.9,0.0,5.54,4.38
0.0004522840343735,2016-08-20,2016,  SOLANO,53.0,"701-5701, HZ",0.0,0.1,5.1,1.2,121.5968847352025,19.085844195210672,25.6,4.85,4.28
